Aktivitätstyp;Datum;Distanz;Kalorien;Zeit;Pace;Ø Herzfrequenz;Maximale Herzfrequenz;Aerober TE;Ø Trittfrequenz;Max. Trittfrequenz;Ø Geschwindigkeit;Maximale Geschwindigkeit;Anstieg gesamt;Abstieg gesamt;Ø Schrittlänge;Schritte;Anzahl der Runden;Minimale Höhe;Maximale Höhe
Laufen;12.01.25 12:28;12,00;754;00:59:51;00:04:59;140;161;3.3;172;184;4:59;4:08;25;24;1.16;10,324;12;35;51
Laufen;08.01.25 16:36;6,38;408;00:41:05;00:06:26;123;155;2.2;154;223;6:27;3:59;44;47;1.01;6,424;7;47;66
Laufen;07.01.25 10:40;8,00;523;00:40:22;00:05:03;142;155;3.2;172;210;5:03;4:38;9;4;1.15;6,956;8;43;51
Laufen;05.01.25 15:18;16,70;1,402;01:40:01;00:05:59;155;179;4.9;166;175;5:59;5:09;52;55;1.01;16,622;17;31;52
Laufen;03.01.25 11:35;8,20;515;00:39:32;00:04:49;143;157;3.4;173;180;4:49;4:27;15;11;1.20;6,858;9;43;55
Laufen;31.12.24 08:37;4,31;386;00:30:01;00:06:58;148;161;3.0;165;173;6:58;6:24;29;20;0.87;4,954;5;40;52
Laufen;30.12.24 14:12;8,84;724;00:50:01;00:05:39;156;174;4.2;168;174;5:40;5:10;22;21;1.05;8,376;9;40;52
Laufen;28.12.24 09:50;16,74;987;01:30:00;00:05:23;136;153;2.8;170;193;5:22;5:00;48;44;1.09;15,306;17;31;53
Laufen;26.12.24 11:47;5,37;543;00:39:10;00:07:18;152;179;3.8;163;169;7:18;6:06;21;10;0.84;6,380;6;43;55
Laufen;25.12.24 10:57;5,60;337;00:32:22;00:05:47;124;139;2.1;166;171;5:47;5:12;11;10;1.04;5,368;6;42;49
Laufen;18.12.24 11:36;7,91;538;00:45:01;00:05:41;141;158;3.1;167;173;5:41;4:59;14;12;1.05;7,526;8;42;49
Laufen;17.12.24 11:32;9,61;577;00:50:00;00:05:12;135;147;2.7;169;176;5:12;4:39;28;13;1.13;8,494;10;43;55
Laufen;15.12.24 12:33;7,05;523;00:40:01;00:05:41;145;167;3.3;169;178;5:40;4:57;25;20;1.04;6,776;8;43;59
Laufen;14.12.24 10:10;7,72;664;00:46:27;00:06:01;157;174;3.9;165;184;6:01;4:08;75;53;1.01;7,652;8;40;63
Laufen;12.12.24 10:00;11,69;726;01:00:00;00:05:08;143;155;3.1;172;205;5:08;4:38;33;32;1.13;10,326;12;-6;12
Laufen;10.12.24 09:27;9,00;734;00:51:22;00:05:42;158;183;4.1;168;174;5:42;5:05;24;21;1.04;8,642;9;35;53
Laufen;07.12.24 10:18;6,95;626;00:47:27;00:06:50;145;184;3.9;147;239;6:50;4:01;65;67;0.99;7,102;7;-15;10
Laufen;05.12.24 10:26;16,60;1,129;01:30:00;00:05:25;142;165;3.6;170;212;5:25;4:40;114;90;1.08;15,318;17;42;63
Laufen;04.12.24 11:14;6,73;573;00:40:00;00:05:57;149;170;3.9;167;174;5:57;5:21;16;11;1.01;6,680;7;42;53
Laufen;03.12.24 09:36;9,43;688;00:53:00;00:05:37;148;164;4.0;171;176;5:37;4:55;14;25;1.04;9,036;10;144;165
Laufen;30.11.24 09:42;6,53;638;00:46:56;00:07:11;145;166;3.6;164;173;7:11;5:33;36;13;0.85;7,692;7;39;58
Laufen;29.11.24 11:58;12,60;799;01:10:00;00:05:33;129;140;2.8;168;174;5:34;4:50;47;29;1.07;11,810;13;4;22
Laufen;28.11.24 12:57;8,67;731;00:51:45;00:05:58;149;165;4.1;157;241;5:58;3:59;43;49;1.07;8,244;9;34;58
Laufen;27.11.24 07:55;5,60;356;00:30:00;00:05:21;128;148;2.6;171;178;5:22;4:47;20;59;1.09;5,144;6;-17;34
Laufen;26.11.24 12:05;10,01;663;00:50:47;00:05:04;139;155;3.6;174;182;5:05;4:25;38;38;1.13;8,842;11;2;17
Laufen;25.11.24 15:12;5,01;337;00:29:59;00:05:59;126;142;2.4;167;215;5:59;4:27;9;15;1.00;5,002;6;43;57
Laufen;24.11.24 10:56;10,00;637;00:59:05;00:05:54;127;145;2.3;169;177;5:54;5:15;23;21;1.00;9,998;10;39;54
Laufen;22.11.24 10:12;5,50;357;00:29:39;00:05:23;132;152;2.8;171;178;5:24;3:56;15;8;1.09;5,074;6;50;57
Laufen;21.11.24 10:40;9,55;921;00:55:41;00:05:50;166;193;5.0;169;176;5:50;5:07;36;36;1.02;9,410;10;22;34
Laufen;19.11.24 09:34;10,00;684;00:51:13;00:05:07;143;158;3.8;172;178;5:07;4:19;19;46;1.14;8,802;10;40;77
Laufen;17.11.24 09:08;15,00;1,037;01:20:17;00:05:21;141;159;4.1;171;178;5:21;3:36;24;38;1.09;13,692;15;13;40
Laufen;16.11.24 09:46;10,00;767;00:58:13;00:05:49;147;171;3.9;163;229;5:49;3:59;86;81;1.06;9,484;10;43;62
Laufen;15.11.24 09:28;12,00;802;01:11:31;00:05:58;138;161;3.9;167;174;5:58;5:20;33;23;1.00;11,994;12;-17;3
Laufen;14.11.24 12:08;10,00;703;00:48:57;00:04:54;151;162;4.5;175;182;4:54;3:58;32;38;1.16;8,560;10;-9;15
Laufen;12.11.24 09:40;15,00;967;01:17:31;00:05:10;138;151;3.8;174;186;5:10;4:24;46;45;1.11;13,468;15;30;48
Laufen;10.11.24 10:03;15,00;906;01:20:56;00:05:24;132;142;3.2;173;232;5:24;4:51;24;30;1.07;13,980;15;28;50
Laufen;09.11.24 10:49;10,15;735;00:57:36;00:05:40;146;176;4.7;164;226;5:40;4:09;88;88;1.07;9,586;11;38;61
Laufen;07.11.24 09:12;12,00;771;01:10:56;00:05:55;138;156;3.9;171;221;5:55;4:51;38;36;0.99;12,144;12;25;53
Laufen;06.11.24 09:12;10,00;711;00:53:15;00:05:20;143;156;4.3;173;178;5:20;4:56;34;39;1.08;9,216;10;36;59
Laufen;05.11.24 09:26;15,00;1,129;01:21:57;00:05:28;148;165;5.0;171;178;5:28;4:53;43;33;1.07;14,010;15;43;60
Laufen;20.10.24 11:08;8,54;497;00:51:05;00:05:59;119;137;2.1;170;178;5:59;5:23;9;10;0.98;8,648;9;91;98
Laufen;18.10.24 13:48;18,29;1,222;01:36:42;00:05:17;138;156;4.8;171;180;5:17;4:42;34;24;1.10;16,576;19;114;121
Laufen;16.10.24 09:29;15,37;913;01:27:43;00:05:42;130;150;2.9;170;176;5:42;5:04;23;21;1.03;14,934;16;81;91
Laufen;14.10.24 09:33;15,75;887;01:31:42;00:05:49;125;155;2.6;169;178;5:49;5:21;47;55;1.01;15,490;16;18;45
